tahun,bulan,provinsi,harga
2026,1,Aceh,
2026,2,Aceh,
2026,3,Aceh,
2026,4,Aceh,
2026,5,Aceh,
2026,6,Aceh,
2026,7,Aceh,
2026,8,Aceh,
2026,9,Aceh,
2026,10,Aceh,
2026,11,Aceh,
2026,12,Aceh,
2026,1,Sumatera Utara,3634
2026,2,Sumatera Utara,3634
2026,3,Sumatera Utara,
2026,4,Sumatera Utara,
2026,5,Sumatera Utara,
2026,6,Sumatera Utara,
2026,7,Sumatera Utara,
2026,8,Sumatera Utara,
2026,9,Sumatera Utara,
2026,10,Sumatera Utara,
2026,11,Sumatera Utara,
2026,12,Sumatera Utara,
2026,1,Sumatera Barat,
2026,2,Sumatera Barat,
2026,3,Sumatera Barat,
2026,4,Sumatera Barat,
2026,5,Sumatera Barat,
2026,6,Sumatera Barat,
2026,7,Sumatera Barat,
2026,8,Sumatera Barat,
2026,9,Sumatera Barat,
2026,10,Sumatera Barat,
2026,11,Sumatera Barat,
2026,12,Sumatera Barat,
2026,1,Riau,3487
2026,2,Riau,
2026,3,Riau,
2026,4,Riau,
2026,5,Riau,
2026,6,Riau,
2026,7,Riau,
2026,8,Riau,
2026,9,Riau,
2026,10,Riau,
2026,11,Riau,
2026,12,Riau,
2026,1,Jambi,
2026,2,Jambi,
2026,3,Jambi,
2026,4,Jambi,
2026,5,Jambi,
2026,6,Jambi,
2026,7,Jambi,
2026,8,Jambi,
2026,9,Jambi,
2026,10,Jambi,
2026,11,Jambi,
2026,12,Jambi,
2026,1,Sumatera Selatan,3469
2026,2,Sumatera Selatan,
2026,3,Sumatera Selatan,
2026,4,Sumatera Selatan,
2026,5,Sumatera Selatan,
2026,6,Sumatera Selatan,
2026,7,Sumatera Selatan,
2026,8,Sumatera Selatan,
2026,9,Sumatera Selatan,
2026,10,Sumatera Selatan,
2026,11,Sumatera Selatan,
2026,12,Sumatera Selatan,
2026,1,Bengkulu,
2026,2,Bengkulu,
2026,3,Bengkulu,
2026,4,Bengkulu,
2026,5,Bengkulu,
2026,6,Bengkulu,
2026,7,Bengkulu,
2026,8,Bengkulu,
2026,9,Bengkulu,
2026,10,Bengkulu,
2026,11,Bengkulu,
2026,12,Bengkulu,
2026,1,Lampung,
2026,2,Lampung,
2026,3,Lampung,
2026,4,Lampung,
2026,5,Lampung,
2026,6,Lampung,
2026,7,Lampung,
2026,8,Lampung,
2026,9,Lampung,
2026,10,Lampung,
2026,11,Lampung,
2026,12,Lampung,
